quality3	transfer_prob1	transfer_prob2	transfer_prob3	transfer_prob4	transfer_probALL
1	0	.058992516	.024976129	.018601455	.1025701
2	0	0	0	0	0
3	0	0	0	0	0
4	0	0	0	0	0
All	0	.010210893	.0043230667	.0032196876	.017753648
