quality5	transfer_prob1	transfer_prob2	transfer_prob3	transfer_prob4	transfer_probALL
1	0	.019824052	0	0	.019824052
2	0	0	0	0	0
3	0	0	0	0	0
4	0	0	0	0	0
All	0	.0012346397	0	0	.0012346397
