quality1	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	4.9106102	4.575067	6	4.8331208	4.884573
2	4.7302532	4.694222	4.4572001	4.4970808	4.5499287
3	4.4595456	4.6769795	4.5577641	4.5433049	4.555829
4	4.1017041	4.4056869	4.2369037	4.1321769	4.2052913
All	4.4884543	4.5733204	4.4764457	4.4093542	4.4650087
