quality2	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	20.78676	21.690475	23.607035	24.055391	22.667339
2	28.185261	29.420437	30.256134	30.961309	30.039854
3	28.248417	29.661358	30.469126	30.691339	30.440283
4	33.870613	28.294767	29.25036	30.141567	29.91317
All	23.667624	26.152037	28.025087	29.620609	28.059406
