quality2	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	12.684739	14.275734	16.711515	18.405561	15.673504
2	19.520771	24.096746	26.193712	28.439646	25.655703
3	22.707306	27.088676	26.367992	26.126137	26.204184
4	31.978859	25.313341	26.297123	26.770672	26.662992
All	15.888011	20.589331	23.235092	25.694418	23.274734
