quality4	transfer_prob1	transfer_prob2	transfer_prob3	transfer_prob4	transfer_probALL
1	0	.059197374	.01892294	0	.078120314
2	0	0	0	0	0
3	0	0	0	0	0
4	0	0	0	0	0
All	0	.0044215936	.0014133997	0	.0058349934
