quality1	transfer_prob1	transfer_prob2	transfer_prob3	transfer_prob4	transfer_probALL
1	0	.014879173	.013894918	.0020169152	.030791007
2	0	0	0	0	0
3	0	0	0	0	0
4	0	0	0	0	0
All	0	.0056210407	.0052492102	.00076194841	.011632199
