quality2	transfer_prob1	transfer_prob2	transfer_prob3	transfer_prob4	transfer_probALL
1	0	.028954534	.022837438	.044370316	.096162289
2	0	0	0	0	0
3	0	0	0	0	0
4	0	0	0	0	0
All	0	.0082816156	.0065319948	.012690858	.027504468
