quality1	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	203	190	185	147	725
2	71	96	106	122	395
3	51	70	131	159	411
4	37	59	93	148	337
All	362	415	515	576	1868
