pctile	afqt_pctile
p1	2419
p5	2419
p10	2419
p15	2419
p20	2419
p25	2419
p30	2419
p35	2419
p40	2419
p45	2419
p50	2419
p55	2419
p60	2419
p65	2419
p70	2419
p75	2419
p80	2419
p85	2419
p90	2419
p95	2419
p99	2419
