inc_quartile	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	124	106	75	57	362
2	71	118	113	113	415
3	63	115	156	181	515
4	37	90	195	254	576
All	295	429	539	605	1868
