quality3	transfer_prob1	transfer_prob2	transfer_prob3	transfer_prob4	transfer_probALL
1	.016515838	.061808046	.039233103	.017419441	.13497643
2	.04279568	.011432434	.0041087242	.000982953	.05931979
3	.022811096	.024803758	.022885948	.01151287	.082013674
4	.0050790817	.0069529214	.015422692	.0076155174	.035070211
All	.020950977	.027405662	.021441702	.0099092955	.079707637
