quality5	transfer_prob1	transfer_prob2	transfer_prob3	transfer_prob4	transfer_probALL
1	.014952609	.049917907	0	0	.064870514
2	.0067142001	.011294716	.004847764	0	.022856681
3	.015013365	.0067037335	.0052275732	0	.026944673
4	.0067860889	0	.0060698311	0	.01285592
All	.010787913	.014309566	.0043659005	0	.029463379
