quality4	transfer_prob1	transfer_prob2	transfer_prob3	transfer_prob4	transfer_probALL
1	.033353377	.057564341	.03616222	.013944942	.14102489
2	.01789348	.012016036	.0093951728	.0030575383	.042362224
3	.0096882675	.0031938136	.0044189566	.0022384024	.01953944
4	0	0	.002444881	.0026522984	.0050971792
All	.013020739	.013794087	.010536143	.0045727752	.041923743
