quality2	transfer_prob1	transfer_prob2	transfer_prob3	transfer_prob4	transfer_probALL
1	.044942349	.040492497	.041302331	.026600638	.15333781
2	.051135175	.029786045	.00981519	.012449719	.10318613
3	.025077702	.017699908	.036495835	.008642449	.08791589
4	.014235475	.006793166	.024497448	.012947192	.058473282
All	.034821756	.025614772	.030213587	.016464163	.10711428
