quality1	transfer_prob1	transfer_prob2	transfer_prob3	transfer_prob4	transfer_probALL
1	.25365925	.014125215	.015261688	.002628373	.28567454
2	.022124287	.12627146	.026658587	.011508682	.18656301
3	.015305166	.012691622	.072592579	.010595791	.11118516
4	.0044546505	.0032033396	.012374326	.067452066	.087484382
All	.10089048	.034160614	.030234791	.019515511	.18480138
