stat	afqt2	afqt3	afqt4	school2	school3	cons	parental2	parental3	parental4
coeff	0.0216	0.0576	0.1151	0.08	0.49	9.324	0.06	0.099	0.18
se	0.027	0.026	0.028	0.023	0.022	0.022	0.02	0.02	0.03
