quality1	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	805.03247	1142.197	1736.8112	830.28955	1243.9064
2	2427.1997	8007.3169	14854.386	7002.27	10285.675
3	1966.7715	1321.4366	4440.0303	3181.2966	3518.6704
4	1958.1608	5324.1045	2085.4434	4243.2925	4035.5552
All	1657.5995	4603.8604	7760.4941	4247.0781	5410.7129
