quality1	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	834.39532	1504.891	1245.6061	1451.8099	1308.0732
2	7571.7778	2289.9175	7328.8276	17115.576	10691.508
3	4960.52	3744.7632	3168.7402	3243.9163	3541.3169
4	3482.0471	3553.1821	4962.8672	3816.5994	4099.1147
All	4471.3936	2655.8145	4480.2026	7849.7231	5599.6792
