quality3	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	3325.082	918.44885	749.8363	857.36951	1922.5698
2	7021.1094	3974.4016	6265.917	8083.3003	6597.8418
3	10057.359	9434.2578	13385.285	6224.1538	9956.3447
4	12871.325	17447.131	10761.961	8304.0381	11861.134
All	9421.4482	11579.558	10390.725	7192.397	9476.8037
