quality1	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	1088.4158	1817.882	8634.002	3210.5063	5038.4063
2	3777.2368	3076.5925	10067.963	11934.804	9583.873
3	5102.1978	5807.0684	8479.1025	12406.229	10156.191
4	2810.7617	8010.6997	9817.8965	26432.91	19764.084
All	3167.5681	4815.5254	9413.6602	17548.002	12435.354
