quality4	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	497.23911	660.36017	637.35858	715.48468	641.74591
2	653.30334	756.12708	742.61273	657.67896	719.80969
3	916.90247	750.27759	592.34528	722.00775	690.07275
4	418.50528	774.64734	665.7215	991.56897	915.4931
All	726.3905	768.29211	713.4408	847.96252	798.5174
