quality6	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	0	0	2952.5535	0	2582.2593
2	4646.126	6699.6982	3650.0281	5795.7686	5285.6064
3	0	1958.5107	5323.1445	5869.5254	5348.0967
4	0	2012.5859	3069.8206	5481.3013	4188.8896
All	4182.3438	4778.105	4292.8291	5617.7202	4893.748
