quality6	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	0	0	5202.1675	0	6930.0239
2	41813.766	8402.2207	24672.143	8341.0869	22826.951
3	6237.582	13995.246	5809.0713	8945.3057	9586.9922
4	0	933.40112	1959.8036	1918.9446	1556.29
All	30038.541	9075.6455	16582.65	8719.1387	16364.927
