quality4	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	789.19019	651.48645	604.40546	458.79398	667.8714
2	841.31281	803.33484	576.01758	771.59027	755.00793
3	771.01624	606.79047	494.70026	660.22272	617.42145
4	753.98254	688.68573	670.30591	639.17596	660.80945
All	818.42957	722.96692	591.3233	725.38721	702.9118
