quality4	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	7233.0176	7936.3623	8423.9648	6792.6953	7647.7417
2	8091.5254	7887.3076	7706.4443	10486.546	8905.5107
3	8640.3398	6401.5923	5579.6328	7236.5957	6692.8457
4	2691.1912	8412.3994	5338.6714	6608.7554	6466.7754
All	8035.2002	7849.2588	7028.6558	7630.7778	7535.6909
