quality1	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	3.1030946	1.9010561	2.0254974	1.7909694	2.2067103
2	1.8540268	1.490977	1.8781636	3.1297832	2.2300854
3	3.537286	1.8080107	1.8820497	2.2540109	2.1558118
4	1.4804653	1.3967392	2.1867414	2.2465785	2.1837254
All	2.9352806	1.7761062	1.9770114	2.3225777	2.1993554
