quality5	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	1522.6563	1718.6271	357.61499	411.13922	1137.705
2	11610.423	8272.7451	9838.3828	6927.5815	8985.9443
3	6361.2207	5694.1558	11531.83	5574.4229	8017.8726
4	6562.0894	6865.0317	15163.077	12707.227	11418.022
All	8776.1113	7007.2202	11728.068	8186.1177	9217.7148
