quality5	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	1.3345151	1.704726	2.0983882	4.0932837	3.0398219
2	10.507951	2.5542741	3.3457978	3.4597561	5.3350139
3	1.0498558	2.3305125	3.4503322	3.9660017	3.421073
4	1.5185767	3.3590312	3.3571308	4.8068366	3.8945904
All	7.6593623	2.8092997	3.2920072	4.0517998	4.2298269
