quality2	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	1415.0597	1895.2189	707.93231	810.68555	1370.9636
2	14978.015	2141.7661	6900.0332	17630.221	12162.239
3	5396.9756	3626.0171	4175.5908	4200.7505	4244.8027
4	5459.1968	3157.2415	5641.4341	6535.4624	5788.9995
All	8049.5405	2655.457	5156.9458	9015.9541	6963.9531
