quality6	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	0	0	5696.3804	0	5083.002
2	4576.791	6817.8857	4754.1572	6507.2783	5715.2588
3	0	1958.5107	5383.1831	6902.3433	6122.769
4	0	2484.1113	6516.8594	8486.9785	6214.1709
All	3869.7056	4875.5552	5433.5596	6981.6606	5902.3232
