quality3	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	2516.6526	969.86505	1217.2384	2654.552	2042.5497
2	750.22003	13557.267	7091.0957	5397.3574	8734.791
3	2201.3889	3493.5103	14167.372	21007.182	17740.432
4	0	15882.362	17532.879	13232.593	14431.639
All	2133.918	11237.855	13084.226	15270.299	13979.308
