quality1	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	2846.0581	3350.5972	3702.3574	1456.5647	3071.4695
2	6585.5527	6004.6162	4772.6665	9168.3564	7000.4707
3	4380.2856	7595.1035	6619.564	8481.7051	7794.4956
4	3291.707	24434.631	8427.1123	10918.496	11799.658
All	4372.0176	8694.6309	5957.0542	9354.2051	8135.3306
