quality5	transfer_prob1	transfer_prob2	transfer_prob3	transfer_prob4	transfer_probALL
1	167	167	167	167	167
2	270	270	270	270	270
3	237	237	237	237	237
4	161	161	161	161	161
All	835	835	835	835	835
