quality1	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	272	279	183	87	821
2	53	70	79	38	240
3	16	23	45	37	121
4	4	11	17	29	61
All	345	383	324	191	1243
