quality2	transfer_prob1	transfer_prob2	transfer_prob3	transfer_prob4	transfer_probALL
1	833	833	833	833	833
2	505	505	505	505	505
3	501	501	501	501	501
4	424	424	424	424	424
All	2263	2263	2263	2263	2263
