quality1	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	289	311	226	114	940
2	83	144	180	126	533
3	30	70	180	231	511
4	9	34	90	302	435
All	411	559	676	773	2419
