quality1	transfer_prob1	transfer_prob2	transfer_prob3	transfer_prob4	transfer_probALL
1	940	940	940	940	940
2	533	533	533	533	533
3	511	511	511	511	511
4	435	435	435	435	435
All	2419	2419	2419	2419	2419
