quality4	transfer_prob1	transfer_prob2	transfer_prob3	transfer_prob4	transfer_probALL
1	314	314	314	314	314
2	412	412	412	412	412
3	456	456	456	456	456
4	396	396	396	396	396
All	1578	1578	1578	1578	1578
