quality1	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	17	32	43	27	119
2	29	73	100	85	287
3	13	44	132	194	383
4	5	22	73	271	371
All	64	171	348	577	1160
