quality1	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	2243.9038	1481.584	1415.0001	1468.507	1626.4221
2	7490.8438	2561.9229	6754.1675	13762.473	9521.0049
3	4844.3721	3608.0959	5603.7124	3063.7725	4357.4575
4	4824.96	2916.8765	11062.487	3439.5813	6745.291
All	4850.5571	2679.5933	6990.1904	6757.4253	6003.1855
