quality2	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	1803.7043	2351.6506	2434.2175	3233.478	2455.9492
2	5016.541	11502.105	22236.004	9298.5811	15514.033
3	6917.7549	6284.9702	8019.6865	9742.4922	8770.0078
4	7681.9521	6364.1318	9314.9238	7384.1167	7743.7393
All	4263.9355	7968.4482	13024.729	8338.0049	9706.9893
