quality1	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	2920.2834	1772.7209	3975.0339	6484.563	4344.8813
2	2754.1819	4251.8486	9414.999	9129.3271	8246.6846
3	4882.5249	4548.752	5481.8076	8221.7305	6944.3525
4	10828.344	8066.519	8356.1172	45262.094	31663.332
All	5596.186	4994.335	7215.6025	25942.104	17153.748
