quality1	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	6552.9678	6921.1167	7318.4438	6778.2896	6932.0283
2	5128.2461	5478.0415	4945.8296	4518.4692	4971.7432
3	3829.1985	5221.9692	4928.6763	4085.8169	4548.167
4	4159.2568	4705.314	4336.98	3568.4041	4090.7466
All	5771.7119	6267.4546	6045.5542	5340.7573	5852.96
