quality4	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	815.58752	835.59155	955.06085	769.36432	864.7663
2	740.7724	747.52972	763.30609	645.21735	726.20953
3	968.20844	709.2041	622.30438	706.05585	696.41644
4	963.03772	818.34985	801.14227	850.25952	841.94104
All	852.32544	777.45294	812.44562	779.30621	801.987
