quality4	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	2.5806334	2.9587836	3.2023387	4.5836301	3.5671201
2	3.4637091	3.4686894	2.4446146	4.9991455	3.9843037
3	4.1547728	2.6794155	3.9616795	3.6002359	3.663609
4	2.5319023	3.1624944	2.8942361	4.5120993	3.7788999
All	3.3360946	3.1176841	3.247927	4.4257412	3.777817
