quality2	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	1755.2617	2539.6489	2767.9106	3150.5603	2598.1824
2	2635.6685	12140.542	7494.1587	8168.145	9007.3232
3	1011.4875	5636.2949	9630.1377	11658.145	10398.186
4	0	3548.7288	21142.771	34971.418	31940.365
All	1929.1438	8182.8501	11715.107	25223.416	18807.803
