quality3	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	3813.7769	2119.7581	2171.1667	3286.0303	2809.3323
2	8760.2666	12465.645	10201.383	14477.861	12178.769
3	12371.76	9396.7666	15789.777	13461.549	13795.117
4	18338.57	7656.9814	17177.252	36550.059	32253.678
All	10957.534	10192.921	14381.74	27009.219	21097.316
