quality2	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	2426.5183	2550.9338	2469.2642	1956.5416	2411.5786
2	5068.895	11026.662	9732.7803	10530.192	10089.084
3	9433.085	7634.8945	9918.624	13199.914	11553.854
4	5975.2861	8454.0605	19511.434	28518.627	26064.383
All	4988.5244	8204.9219	11894.959	21188.988	16242.373
