quality6	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	0	0	0	0	1927.444
2	7498.5186	10860.76	4784.9287	7093.0859	7034.7578
3	10429.096	8519.5107	6800.2983	13740.89	9903.7148
4	3816.4297	6180.6245	6547.1943	2056.8369	5559.3433
All	7748.0015	8162.3545	6193.9189	9646.9521	8022.1694
