quality4	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	2358.2292	1970.5352	393.15308	502.6445	1628.9666
2	3796.9363	4903.9053	5204.2642	3739.4565	4476.604
3	10854.317	7520.3242	6210.9185	8221.7461	7836.8472
4	11631.361	10362.389	8799.3232	11346.278	10657.499
All	9749.7588	7883.4839	6921.7212	8575.334	8158.9336
