quality2	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	968.48633	804.18445	997.02765	723.62274	879.24542
2	682.04297	621.26141	615.96796	703.26141	661.28052
3	706.97961	584.64655	660.08459	683.77814	666.04297
4	601.7309	747.17004	603.98645	519.47864	608.45648
All	850.68536	746.39752	804.78235	703.36975	770.79633
