quality3	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	1710.4669	881.98187	673.65143	999.71307	1101.8983
2	3861.4629	3701.5344	8063.8843	4403.1289	5888.9087
3	2955.4326	5162.9585	6023.2349	7552.8994	6630.2695
4	4969.9585	3430.782	3814.8357	4703.8188	4459.4009
All	2977.1968	3826.1794	5881.147	5695.3892	5355.5361
