quality4	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	1847.0588	5342.8696	10424.096	0	5135.3687
2	9567.9092	15657.73	12960.023	38812.957	27072.756
3	18321.49	9173.7988	19852.637	14512.867	16285.573
4	14560.557	12610.428	25120.242	12050.099	18069.266
All	15428.998	12268.871	20882.025	21341.414	19626.691
