quality1	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	7244.3906	7243.7539	6036.4546	6596.1309	6874.8096
2	5111.6631	4540.457	4675.6563	5374.3467	4889.231
3	4915.397	5337.8423	4482.2427	3857.3765	4362.8989
4	2556.7883	4341.4746	3855.1282	4235.623	4156.6318
All	6841.8989	6473.8574	5268.7192	5143.4077	5808.6987
