quality1	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	2699.3079	2969.969	2025.0669	1475.2008	2468.668
2	5822.3135	5667.5493	7569.938	9518.4902	7617.0894
3	10319.717	9184.5703	7419.0972	8040.1646	8090.2905
4	3747.9614	19494.463	7956.5381	13727.252	13310.475
All	4828.1899	8006.061	6763.4663	10881.954	8931.7119
