stat	quality2	quality3	quality4	inc_quartile2	inc_quartile3	inc_quartile4	cons
coeff	6020.148711940405	5228.80693922808	12164.84137788826	-416.274162346068	2591.924093049062	5936.271858390184	313.0039483677992
se	923.6991375563711	554.4803856727718	1670.387963297033	788.805679094149	931.9750894287465	1242.880018145946	674.9680036164084
