stat	afqt2	afqt3	afqt4	quality2	quality3	quality4	inc_quartile2	inc_quartile3	inc_quartile4	cons
coeff	1126.059135475624	862.5077723420039	2619.373010427375	5775.474062114755	4574.762982927796	11115.98130114074	-623.5650788273261	2403.233817025836	5730.749383426272	-620.3821708728628
se	719.2432850497463	729.5181194531139	780.2329106133917	921.8372269789244	620.456253166692	1482.987511430594	798.8928140365314	945.872648514098	1248.870134245604	681.2713233801824
