quality6	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	10	14	11	9	44
2	15	16	14	27	72
3	6	18	17	15	56
4	2	9	10	7	28
All	33	57	52	58	200
