quality1	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	266	283	193	102	844
2	76	133	162	112	483
3	27	59	158	192	436
4	9	32	75	261	377
All	378	507	588	667	2140
