quality2	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	68	73	74	39	254
2	30	73	94	68	265
3	15	37	103	161	316
4	3	21	58	212	294
All	116	204	329	480	1129
