quality3	afqt_quartile1	afqt_quartile2	afqt_quartile3	afqt_quartile4	afqt_quartileALL
1	144	134	120	62	460
2	45	100	133	96	374
3	22	58	134	188	402
4	7	23	76	233	339
All	218	315	463	579	1575
