quality5	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	4	11	10	10	35
2	23	40	37	49	149
3	14	27	41	58	140
4	11	23	34	26	94
All	52	101	122	143	418
