quality5	inc_quartile1	inc_quartile2	inc_quartile3	inc_quartile4	inc_quartileALL
1	25	30	23	25	103
2	27	46	38	63	174
3	13	30	45	60	148
4	10	28	34	30	102
All	75	134	140	178	527
